"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"682","Trevor Kuntar","BUF","C","1","5.2","5.2","-19.7","66.71","-23.06","-21.58","81.39","-33.77","-19.32","55.93","-43.75","-2.76","11.54","-100.00","-0.95","7.77","-35.64","-5.02","54.55","-26.21","4.64","24.96","-16.67","0","11.54","-","-12.88","39.46","-36.84","-1.84","0","-100.00","-29.17","9.59","-21.67","-1.99","0","-100.00","-","85.71","0.86","0","0","11.54","80.77","0.00","0","0","11.54","0.00"
"801","Marshall Rifai","TOR","D","1","9.6666666666667","9.6666666666667","-26.07","62.07","-31.84","-34.76","43.45","-38.54","-13.66","27.31","-29.93","4.97","4.97","0.00","-2.9","2.17","-47.56","-17.38","27.31","-35.98","-2.48","9.93","-23.16","0","0","-","-19.86","23.17","-45.24","6.62","6.62","0.00","-25.1","48.41","-32.71","0","0","-","25.00","87.50","1.125","6.21","0","6.21","74.48","50.00","6.21","0","12.41","33.33"
"821","David Spacek","MIN","D","2","21.116666666667","10.558333333333","-23.52","61.81","-28.21","-11.53","32.78","-20.59","-10.91","12.71","-18.78","1.24","0.89","8.33","-1.24","0.44","-19.93","-7.81","26.82","-23.99","-3.55","2.58","-22.11","2.04","1.24","16.67","-5.68","32.33","-24.36","0","2.72","0.00","-9.73","65.94","-23.25","-1.15","-3.46","-25.00","16.67","87.50","1.042","5.68","11.37","14.21","48.3","28.57","17.05","19.89","28.41","37.50"
"107","T.J. Tynan","COL","C","1","8.2166666666667","8.2166666666667","-5.73","54.06","-15.87","-10.21","52.77","-22.26","-1.02","23.63","-16.02","3.18","0","0.00","-1.06","4.42","-28.50","-23.87","15.39","-29.63","-7.81","25.52","-41.23","-2.75","0","-","-21.41","-13.5","-15.24","-1.83","0","-100.00","36.75","54.5","-1.53","10.55","0","100.00","25.00","100.00","1.250","0","0","14.6","73.02","0.00","29.21","7.3","43.81","40.00"
"761","Jorian Donovan","OTT","D","2","13.95","6.975","-27.48","44.29","-26.84","-23.44","44.26","-30.88","-10.13","18.86","-23.31","-2.71","-2.03","-","-0.69","1.43","-16.14","-14.2","15.91","-26.92","-1.56","7.04","-16.67","-1.35","-0.68","-","-16.85","11.83","-35.71","-1.81","-1.81","-50.00","-30.29","44.9","-36.12","0","0","-","0.00","100.00","1.000","0","8.6","0","73.12","-","4.3","8.6","0","100.00"
"584","Nathan Légaré","N.J","R","1","8.25","8.25","-26.75","35.08","-23.33","-26.32","4.6","-24.65","-18.61","25.03","-37.50","-1.36","-2.72","-","-2.49","0.89","-41.60","-17.24","15.03","-31.87","-10.9","-0.44","-42.11","0","-2.72","-","-8.46","20.63","-30.00","0","0","-","-9.13","17.15","-10.00","-1.97","0","-100.00","0.00","100.00","1.000","14.55","14.55","0","43.64","100.00","21.82","36.36","7.27","75.00"
"900","Braeden Cootes","VAN","C","3","28.916666666667","9.6388888888889","-21.56","33.35","-22.38","-16.45","19.78","-20.76","-11.74","14.68","-23.55","-3.91","2.47","-70.00","-2.15","3.11","-46.20","-18.52","24.26","-38.52","-10.62","11.81","-54.29","-1.68","-1.12","-","-10.54","16.6","-29.20","-1.49","2.02","-66.67","-10.27","13.13","-11.87","-1.61","3","-100.00","0.00","90.00","0.900","6.22","10.37","4.15","62.25","60.00","14.52","12.45","10.37","58.33"
"907","Quinn Hutson","EDM","R","4","31.983333333333","7.9958333333333","0.91","32.81","-11.64","-12.07","18.71","-18.68","-7.03","10.57","-15.98","0.36","1.1","-3.03","-0.33","1.33","-14.07","-10.46","15.84","-22.22","-2.74","8.13","-20.52","0.74","-0.4","16.67","-10.29","10.28","-22.85","0","-0.51","0.00","10.95","3.79","4.42","-0.55","2.71","-100.00","11.11","90.00","1.011","13.13","11.26","1.88","65.66","87.50","16.88","13.13","9.38","64.29"
"113","Joseph LaBate","VAN","C","1","9.5333333333333","9.5333333333333","-10.92","29.71","-14.18","-0.6","14.28","-8.65","-3.45","2.85","-7.14","-1.72","2.86","-33.33","0.29","-0.6","7.65","-1.17","-6.32","3.66","8.58","3.42","10.00","0","-1.72","-","-12.99","-12.99","0.00","-2.29","6.1","-50.00","-19.05","44.6","-27.70","0","0","-","0.00","75.00","0.750","6.29","6.29","0","88.11","100.00","6.29","6.29","12.59","33.33"
"664","Maxim Groshev","T.B","D","2","22.95","11.475","-2.72","29.09","-9.52","-0.66","29.48","-12.50","4.7","30.15","-14.17","0.14","-2.47","50.00","0.19","4.73","-18.48","0.57","19.15","-11.11","-6.18","18.17","-31.52","0.14","-0.82","25.00","9","1.3","10.00","0","-1.1","0.00","-14.48","23.5","-17.38","0","-1.19","0.00","10.00","100.00","1.100","0","10.46","18.3","47.06","0.00","5.23","13.07","33.99","13.33"
